"","LACfit","LAClci","LACuci"
"Imax",0.00215404015418498,0.00130355448361582,0.00380773778682786
"Iresp",1.91206448523969,1.44804080323709,2.33738465808163
"Igam",0.675572335512176,0.473342224372862,0.934549487938068
