stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-40225,07/15/2011,0,,11/07/2012,5,08/02/2012,08/23/2013,4,4,0,01/16/2014,9,0,06/24/2014,9,1,11/18/2014,9,1,1,,,05/22/2015,10,1,88,,,,10/19/2015,7,1,1,,,1,20-Jul-16,9,1,,,1,2016/09/29,1,1,4,,,,88
C-40226,07/15/2011,0,,11/07/2012,7,08/02/2012,08/23/2013,2,4,0,01/16/2014,3,0,06/24/2014,3,1,11/18/2014,3,1,0,,,05/26/2015,3,1,1,,,1,10/16/2015,4,1,1,,,1,25-Feb-16,4,1,,,1,2016/09/29,1,1,4,,88,,
C-40227,07/18/2011,0,,11/07/2012,3,08/03/2012,09/16/2013,3,4,0,,,,06/24/2014,3,1,11/18/2014,3,1,88,,,05/26/2015,3,1,88,,,,10/16/2015,3,1,1,,,,25-Feb-16,3,1,,,,2016/09/30,1,1,4,,88,,
C-40228,07/18/2011,0,,11/07/2012,6,08/03/2012,08/23/2013,2,4,0,01/17/2014,2,0,06/24/2014,6,1,11/18/2014,6,1,1,,,,,,,,,,10/08/2015,6,1,0,,,,25-Feb-16,6,0,,,,2016/09/30,1,1,4,,0,,
C-40229,07/18/2011,0,,,,08/02/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40230,07/18/2011,0,12/01/2011,11/07/2012,3,08/02/2012,08/23/2013,3,4,1,01/17/2014,4,0,06/24/2014,3,1,11/18/2014,3,1,0,,,05/26/2015,3,1,0,,,,10/16/2015,5,1,1,,,1,25-Feb-16,5,1,,,1,2016/09/30,1,1,4,,88,,
C-40231,07/18/2011,0,12/01/2011,11/07/2012,5,08/02/2012,08/23/2013,5,88,88,01/17/2014,4,0,06/24/2014,5,1,11/18/2014,5,1,88,,,05/26/2015,5,1,1,,,1,10/16/2015,5,1,1,,,1,25-Feb-16,5,1,,,1,2016/09/30,1,1,4,,88,,
C-40232,07/18/2011,0,12/06/2011,11/07/2012,4,08/02/2012,08/23/2013,4,4,0,01/17/2014,3,0,,,,,,,,,,05/26/2015,2,1,88,,,,10/16/2015,2,1,88,,,,25-Feb-16,2,88,,,,2016/09/30,1,1,4,,88,,
C-40233,07/18/2011,0,12/08/2011,11/07/2012,6,08/02/2012,08/23/2013,6,4,0,01/17/2014,4,0,06/24/2014,8,1,11/18/2014,8,1,1,,,05/26/2015,6,1,1,,,1,10/16/2015,6,1,1,,,1,25-Feb-16,6,1,,,1,2016/09/30,1,1,4,,88,,
C-40234,07/18/2011,0,12/06/2011,11/07/2012,4,08/02/2012,,,,,01/17/2014,4,0,06/24/2014,4,1,11/18/2014,4,1,88,,,05/26/2015,4,1,88,,,,10/16/2015,4,1,88,,,,25-Feb-16,4,88,,,,2016/09/30,1,1,4,,88,,
C-40235,07/18/2011,0,,,,08/02/2012,,,,,,,,,,,,,,,,,,,,,,,,10/16/2015,1,1,88,,,,25-Feb-16,1,88,,,,2016/09/30,1,1,4,,88,,
C-40236,07/18/2011,0,12/06/2011,11/07/2012,88,08/02/2012,08/23/2013,5,4,0,01/15/2014,5,0,06/24/2014,5,1,11/18/2014,5,1,0,,,05/26/2015,5,1,1,,,1,10/16/2015,5,1,1,,,1,25-Feb-16,5,1,,,1,2016/09/30,1,1,4,,88,,
C-40237,07/18/2011,0,12/06/2011,11/07/2012,88,08/02/2012,08/23/2013,4,4,0,04/29/2014,2,0,06/24/2014,4,1,11/18/2014,4,1,88,,,05/26/2015,4,1,1,,,1,10/16/2015,4,1,1,,,,25-Feb-16,4,1,,,1,2016/09/30,1,1,4,,88,,
C-40238,07/18/2011,0,12/06/2011,,,08/02/2012,,,,,,,,,,,,,,,,,05/26/2015,5,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
C-40239,07/18/2011,0,12/01/2011,11/07/2012,7,08/02/2012,08/23/2013,7,4,0,01/15/2014,4,0,06/24/2014,7,1,11/18/2014,7,1,1,,,05/26/2015,7,1,1,,,2,10/16/2015,7,1,1,,,1,25-Feb-16,7,1,,,1,2016/09/30,1,1,4,,88,,
C-40240,07/18/2011,0,11/30/2011,11/14/2012,0,08/02/2012,08/01/2013,88,88,0,05/06/2014,8,0,06/24/2014,6,1,,,,,,,08/26/2015,6,1,,88,,,10/19/2015,6,1,,88,,,23-Mar-16,8,,88,,,,,,,,,,
C-40241,07/18/2011,0,,11/07/2012,88,08/03/2012,08/23/2013,1,4,0,05/04/2014,4,0,06/24/2014,2,1,11/18/2014,2,1,1,,,05/26/2015,2,1,1,,,1,10/16/2015,2,1,88,,,,25-Feb-16,2,88,,,,2016/09/30,1,1,4,,88,,
C-40242,07/18/2011,0,,11/07/2012,3,08/02/2012,08/23/2013,3,4,0,01/15/2014,3,0,06/24/2014,3,1,11/18/2014,3,1,1,,,05/26/2015,3,1,1,,,1,10/16/2015,3,1,88,,,,25-Feb-16,3,88,,,,2016/09/30,1,1,4,,88,,
C-40243,07/15/2011,0,11/30/2011,11/07/2012,6,08/02/2012,08/23/2013,6,4,0,01/15/2014,7,0,06/24/2014,7,1,11/18/2014,7,1,0,,,05/25/2015,7,1,88,,,,10/19/2015,5,1,1,,,1,07-Mar-16,5,1,,,1,2016/09/29,1,1,4,,88,,
C-40244,07/15/2011,0,12/06/2011,11/07/2012,1,08/02/2012,08/23/2013,1,4,0,,,,06/24/2014,1,1,11/18/2014,1,1,1,,,05/22/2015,1,1,88,,,,10/19/2015,1,1,1,,,1,07-Mar-16,1,,,,,2016/09/29,1,1,4,,88,,
C-40245,07/15/2011,0,12/06/2011,11/07/2012,4,08/02/2012,09/16/2013,,88,0,01/16/2014,4,0,06/25/2014,4,1,11/20/2014,4,1,0,,,05/25/2015,4,1,0,,,,10/19/2015,4,1,0,,,,07-Mar-16,4,0,,,,2016/10/05,1,1,4,,88,,
C-40246,,,11/30/2011,11/07/2012,5,08/02/2012,09/11/2013,4,4,0,01/16/2014,3,0,06/25/2014,5,1,11/20/2014,5,1,1,,,05/25/2015,4,1,1,,,1,10/19/2015,4,1,1,,,1,07-Mar-16,4,1,,,1,2016/10/05,1,1,4,,88,,
C-40247,07/18/2011,0,11/30/2011,11/14/2012,9,08/02/2012,10/01/2013,88,88,0,01/16/2014,3,0,06/25/2014,9,1,11/20/2014,9,1,1,,,05/25/2015,8,1,1,,,1,10/19/2015,8,1,1,,,1,07-Mar-16,8,1,,,1,2016/10/05,1,1,4,,88,,
C-40248,07/18/2011,1,12/14/2011,11/07/2012,6,08/02/2012,08/27/2013,6,4,0,01/15/2014,10,0,06/25/2014,6,1,11/20/2014,6,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40249,07/18/2011,0,12/06/2011,,,08/02/2012,08/27/2013,2,4,0,01/15/2014,2,0,06/25/2014,2,1,11/20/2014,2,1,0,,,05/25/2015,2,1,88,,,,,,,,,,,07-Mar-16,2,1,,,1,2016/10/05,1,1,4,,88,,
C-40250,07/18/2011,0,12/06/2011,11/07/2012,88,08/02/2012,08/27/2013,7,4,0,01/15/2014,2,0,06/25/2014,4,1,11/20/2014,4,1,1,,,05/25/2015,0,1,1,,,1,11/05/2015,4,1,0,,,,07-Mar-16,4,0,,,,2016/10/05,1,1,4,,88,,
C-40251,07/18/2011,0,12/14/2011,,,08/02/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40252,07/18/2011,0,12/06/2011,11/07/2012,88,,10/01/2013,88,88,0,01/15/2014,5,0,06/25/2014,6,1,,,,,,,05/25/2015,6,1,,1,1,2,11/06/2015,6,1,,88,,,,,,,,,2016/10/05,1,1,4,,,1,0
C-40253,07/18/2011,0,,11/07/2012,2,08/02/2012,08/27/2013,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40254,07/18/2011,0,12/06/2011,11/07/2012,8,08/02/2012,08/27/2013,8,4,0,01/15/2014,8,0,06/25/2014,8,1,11/20/2014,8,1,1,,,05/25/2015,8,1,0,,,,11/05/2015,8,1,1,,,1,07-Mar-16,8,1,,,1,2016/10/05,1,1,4,,88,,
C-40255,,,,11/07/2012,2,08/02/2012,,,,,,,,06/25/2014,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/05,1,1,4,,88,,
C-40256,07/15/2011,2,12/06/2011,11/07/2012,88,08/02/2012,08/27/2013,7,4,0,01/15/2014,5,0,06/25/2014,7,1,,,,,,,05/25/2015,7,1,1,,,2,11/05/2015,7,1,1,,,1,07-Mar-16,7,1,,,1,2016/10/05,1,1,4,,88,,
C-40257,07/18/2011,0,,,,,08/27/2013,13,4,0,05/06/2014,88,0,06/25/2014,3,1,,,,,,,,,,,,,,10/19/2015,3,1,88,,,,18-Mar-16,5,,88,,,2016/10/05,1,1,4,,88,,
C-40258,07/18/2011,0,12/06/2011,,,08/02/2012,,,,,,,,06/25/2014,5,1,11/20/2014,5,1,0,,,05/25/2015,5,1,88,,,,11/05/2015,5,1,88,,,,07-Mar-16,5,88,,,,2016/10/05,1,1,4,,88,,
C-40259,07/18/2011,0,,11/07/2012,6,08/02/2012,08/27/2013,6,4,0,01/15/2014,3,0,06/25/2014,6,1,11/20/2014,6,1,0,,,05/25/2015,6,1,88,,,,11/05/2015,6,1,88,,,,,,,,,,2016/10/05,1,1,4,,88,,
C-40260,07/18/2011,0,12/06/2011,,,,08/27/2013,6,4,0,01/15/2014,2,0,06/25/2014,2,1,11/20/2014,2,1,0,,,05/25/2015,2,1,0,,,,11/05/2015,2,1,88,,,,07-Mar-16,2,88,,,,2016/10/05,1,1,4,,88,,
C-40261,07/18/2011,0,12/06/2011,,,08/02/2012,08/27/2013,1,4,0,01/15/2014,1,0,06/25/2014,2,1,11/20/2014,2,1,0,,,05/25/2015,2,1,0,,,,11/05/2015,2,1,1,,,,07-Mar-16,2,1,,,1,2016/10/05,1,1,4,,88,,
C-40262,,,,,,,,,,,,,,,,,,,,,,,05/25/2015,2,1,88,,,,11/05/2015,2,1,88,,,,07-Mar-16,2,88,,,,,,,,,,,
C-40263,,,,11/07/2012,3,08/02/2012,08/27/2013,3,4,0,01/15/2014,5,0,06/25/2014,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/05,1,2,4,,88,,
C-40264,07/15/2011,0,12/08/2011,,,08/06/2012,09/16/2013,1,4,0,01/15/2014,2,0,06/25/2014,4,1,11/20/2014,4,1,1,,,05/25/2015,4,1,1,,,2,10/19/2015,4,1,1,,,1,07-Mar-16,4,1,,,,2016/10/05,1,1,4,,88,,
C-40265,,,12/08/2011,12/18/2012,5,,09/11/2013,4,4,0,04/28/2014,5,0,,,,,,,,,,05/25/2015,4,1,1,,,1,10/19/2015,4,1,1,,,1,07-Mar-16,4,1,,,1,2016/10/05,1,1,4,,,,88
C-40266,07/15/2011,0,,11/09/2012,4,08/06/2012,09/16/2013,6,4,0,01/15/2014,6,0,06/25/2014,6,1,,,,,,,05/25/2015,6,1,,1,1,3,11/03/2015,6,1,,88,,,23-Mar-16,6,,88,,,2016/10/05,1,1,4,,,,88
C-40267,,,12/08/2011,11/09/2012,88,08/08/2012,08/26/2013,6,88,88,01/15/2014,4,0,06/25/2014,10,1,11/20/2014,10,1,1,,,05/25/2015,10,1,1,,,2,10/19/2015,10,1,1,,,1,07-Mar-16,10,1,,,1,2016/10/05,1,1,4,,88,,
C-40268,07/15/2011,0,12/08/2011,11/09/2012,88,,09/16/2013,7,4,0,01/15/2014,6,0,06/25/2014,6,1,11/20/2014,6,1,1,,,05/25/2015,6,1,,0,,2,11/03/2015,7,1,1,,,,,,,,,,2016/10/05,1,1,4,,,,88
C-40269,,,,12/18/2012,1,,,,,,,,,06/25/2014,7,1,11/20/2014,7,1,0,,,05/25/2015,7,1,1,,,2,10/19/2015,7,1,1,,,1,07-Mar-16,7,1,,,1,2016/10/05,1,1,4,,88,,
C-40270,,,,11/09/2012,6,08/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40271,,,,11/14/2012,6,08/06/2012,09/12/2013,8,4,0,01/15/2014,10,0,06/25/2014,11,1,11/20/2014,11,1,1,,,,,,,,,,11/03/2015,11,1,1,,,1,07-Mar-16,11,1,,,1,2016/10/05,1,1,4,,88,,
C-40272,,,,11/14/2012,5,,09/16/2013,5,4,0,01/15/2014,5,0,06/25/2014,5,1,,,,,,,05/25/2015,5,1,,88,,,11/03/2015,5,1,,88,,,07-Mar-16,5,,88,,,2016/10/05,1,1,4,,,,88
C-40273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/20,1,1,2,1,88,,
C-40274,10/31/2011,0,,,,,08/19/2013,4,4,0,05/04/2014,5,0,06/25/2014,4,1,11/20/2014,4,1,0,,,05/25/2015,4,1,0,,,,11/03/2015,4,1,0,,,,07-Mar-16,4,0,,,,2016/10/20,0,,,,,,
C-40275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/20,1,1,1,1,0,,
C-40276,10/31/2011,0,,,,,08/19/2013,1,3,0,05/04/2014,3,0,06/25/2014,2,1,11/20/2014,2,1,1,,,05/25/2015,2,1,88,,,,,,,,,,,07-Mar-16,1,1,,,,2016/10/20,1,1,4,,0,,
C-40277,,,,12/18/2012,88,,08/19/2013,7,4,0,,,,06/25/2014,8,1,11/20/2014,8,1,1,,,05/25/2015,8,1,1,,,1,11/03/2015,7,1,1,,,1,22-Apr-16,7,1,,,,2016/10/20,1,1,4,,0,,
C-40278,07/15/2011,0,12/08/2011,11/09/2012,5,,08/19/2013,5,4,0,01/15/2014,5,0,,,,,,,,,,05/25/2015,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
C-40279,07/15/2011,0,12/08/2011,,,,08/19/2013,5,4,0,01/15/2014,5,0,06/25/2014,6,1,11/20/2014,6,1,1,,,05/25/2015,6,1,1,,,1,11/03/2015,6,1,1,,,1,07-Mar-16,6,1,,,,2016/10/20,1,2,4,,0,,
C-40280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2015,2,1,1,,,1,08-Mar-16,2,1,,,,,,,,,,,
C-40281,,,12/08/2011,11/09/2012,88,08/08/2012,10/01/2013,88,88,0,04/28/2014,8,0,,,,,,,,,,05/25/2015,11,1,1,,,3,11/03/2015,1,1,1,,,1,08-Mar-16,1,1,,,,,,,,,,,
C-40282,07/15/2011,0,,11/14/2012,3,08/10/2012,08/21/2013,9,4,0,05/05/2014,7,0,,,,,,,,,,05/25/2015,5,1,,1,1,2,,,,,,,,10-Mar-16,5,,88,,,2016/10/05,1,1,4,,,,88
C-40283,,,,11/14/2012,6,08/08/2012,09/12/2013,8,4,0,01/15/2014,7,0,06/25/2014,8,1,11/20/2014,8,1,88,,,05/25/2015,8,1,1,,,1,11/03/2015,8,1,1,,,1,08-Mar-16,8,1,,,1,2016/10/05,1,1,4,,88,,
C-40284,07/15/2011,0,12/12/2011,11/09/2012,8,08/08/2012,10/01/2013,88,88,0,04/28/2014,2,0,,,,,,,,,,05/25/2015,2,1,1,,,1,10/19/2015,2,1,1,,,,24-Mar-16,2,1,,,,2016/10/20,1,1,4,,,88,0
C-40285,,,12/12/2011,11/14/2012,8,08/08/2012,10/01/2013,88,88,0,05/05/2014,2,0,06/25/2014,2,1,11/20/2014,2,1,0,,,05/25/2015,2,1,1,,,1,10/19/2015,2,1,1,,,1,20-Jul-16,2,1,,,1,2016/10/05,1,1,4,,88,,
C-40286,,,,11/09/2012,9,08/08/2012,09/12/2013,2,4,0,05/04/2014,2,0,06/25/2014,4,1,11/20/2014,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-40287,07/15/2011,0,12/08/2011,11/14/2012,7,08/08/2012,09/30/2013,88,88,88,01/15/2014,5,0,06/25/2014,10,1,11/20/2014,10,1,1,,,05/25/2015,8,1,88,,,,10/19/2015,8,1,88,,,,20-Jul-16,8,1,,,1,2016/10/05,1,2,4,,88,,
C-40288,,,12/08/2011,11/09/2012,88,08/06/2012,09/11/2013,2,4,0,01/15/2014,1,1,06/25/2014,1,1,11/20/2014,1,1,0,,,05/25/2015,1,1,1,,,1,10/19/2015,1,1,1,,,1,20-Jul-16,1,0,,,,2016/10/05,1,1,4,,88,,
C-40289,,,12/08/2011,11/09/2012,5,08/06/2012,10/01/2013,88,88,0,,,,06/25/2014,1,1,11/20/2014,1,1,0,,,05/25/2015,1,1,88,,,,10/19/2015,1,1,88,,,,20-Jul-16,1,88,,,,2016/10/05,1,1,4,,88,,
C-40292,07/07/2011,0,12/12/2011,11/09/2012,2,08/08/2012,10/01/2013,88,88,0,01/15/2014,7,0,06/25/2014,8,1,,,,,,,08/25/2015,6,1,,1,1,1,,,,,,,,23-Mar-16,7,,88,,,2016/10/05,1,1,4,,88,,
C-40296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2015,1,1,1,,,1,,,,,,,,,,,,,,
C-462g,07/11/2011,0,,11/01/2012,7,,09/08/2013,9,4,0,03/26/2014,4,0,,,,10/23/2014,8,1,1,,,04/24/2015,8,1,,88,,,,,,,,,,,,,,,,2016/09/23,1,1,4,,,,88
C-462h,07/11/2011,0,,,,,,,,,03/26/2014,8,0,,,,,,,,,,04/24/2015,7,1,,1,1,3,10/29/2015,6,1,,88,,,18-Feb-16,7,1,,,,2016/09/26,1,1,4,,88,,
C-462i,,,,10/26/2012,8,,10/01/2013,88,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Feb-16,10,1,,,,2016/09/26,1,1,4,,88,,
C-462j,07/11/2011,0,,,,,,,,,,,,,,,,,,,,,04/24/2015,8,1,1,,,3,10/29/2015,8,1,1,,,,,,,,,,,,,,,,,
C-462k,,,,10/26/2012,5,,10/01/2013,88,88,0,03/26/2014,10,0,,,,10/23/2014,6,1,1,,,04/24/2015,6,1,1,,,2,10/29/2015,6,1,1,,,,,,,,,,2016/09/26,1,1,4,,88,,
C-462l,07/11/2011,0,,10/26/2012,10,,10/01/2013,88,88,0,03/26/2014,10,0,,,,10/23/2014,7,1,,0,,04/24/2015,7,1,1,,,2,10/29/2015,7,1,1,,,,18-Feb-16,7,1,,,1,2016/09/26,1,1,4,,88,,
C-50001,10/31/2011,0,12/14/2011,11/09/2012,5,08/08/2012,08/26/2013,5,4,0,04/24/2014,5,0,06/25/2014,6,1,11/20/2014,6,1,0,,,05/25/2015,6,1,1,,,1,11/03/2015,6,1,88,,,,08-Mar-16,6,88,,,,2016/10/20,1,1,4,,88,,
C-50002,10/31/2011,0,,11/09/2012,6,08/03/2012,08/19/2013,5,4,0,04/24/2014,6,0,06/25/2014,4,1,11/20/2014,4,1,0,,,05/25/2015,0,1,0,,,,11/03/2015,4,1,0,,,,08-Mar-16,4,0,,,,2016/10/20,1,1,4,,88,,
C-50003,10/31/2011,0,12/14/2011,11/09/2012,2,08/03/2012,08/19/2013,6,4,0,04/24/2014,2,0,06/25/2014,3,1,11/20/2014,3,1,88,,,05/25/2015,3,1,88,,,,11/03/2015,3,1,88,,,,08-Mar-16,3,88,,,,2016/10/20,1,1,4,,0,,
C-50004,,,12/14/2011,11/09/2012,8,08/03/2012,08/19/2013,1,4,0,05/05/2014,8,0,06/25/2014,8,1,11/20/2014,8,1,88,,,05/25/2015,8,1,1,,,2,11/03/2015,5,1,1,,,1,08-Mar-16,5,1,,,1,2016/10/20,1,1,4,,88,,
C-50005,10/31/2011,0,12/14/2011,,,08/03/2012,09/11/2013,1,4,0,01/20/2014,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-50006,10/31/2011,0,12/14/2011,11/09/2012,5,08/03/2012,08/19/2013,5,4,0,01/15/2014,3,0,06/27/2014,5,1,12/05/2014,5,1,0,,,05/26/2015,5,1,1,,,1,11/03/2015,5,1,1,,,1,08-Mar-16,5,1,,,1,2016/10/20,1,1,4,,88,,
C-50007,10/31/2011,0,12/15/2011,11/09/2012,5,08/03/2012,08/19/2013,4,4,0,01/20/2014,4,0,06/27/2014,5,1,,,,,,,05/26/2015,5,1,1,,,2,11/03/2015,6,1,1,,,1,08-Mar-16,6,1,,,1,2016/10/20,1,1,4,,0,,
C-50008,10/31/2011,0,12/14/2011,11/09/2012,8,08/03/2012,08/19/2013,4,4,0,05/05/2014,3,0,06/27/2014,2,1,12/05/2014,2,1,0,,,05/26/2015,6,1,0,,,,11/03/2015,6,1,1,,,1,08-Mar-16,6,1,,,1,2016/10/20,1,1,4,,88,,
C-50009,,,,11/09/2012,3,08/03/2012,,,,,01/15/2014,3,0,06/27/2014,3,1,12/05/2014,3,1,0,,,05/26/2015,5,1,1,,,1,11/03/2015,5,1,1,,,1,08-Mar-16,5,1,,,1,2016/10/20,1,1,4,,0,,
C-50010,,,,11/09/2012,8,08/03/2012,08/21/2013,5,4,0,04/28/2014,7,0,06/27/2014,9,1,12/05/2014,9,1,,0,,05/26/2015,9,1,,0,,2,11/03/2015,8,1,,88,,,10-Mar-16,8,,88,,,2016/10/20,1,1,4,,,,1
C-50011,,,,12/20/2012,9,08/03/2012,,,,,04/30/2014,0,0,06/27/2014,6,1,12/05/2014,6,1,,0,,05/26/2015,7,1,,1,1,1,11/03/2015,8,1,,88,,,10-Mar-16,8,,88,,,2016/10/20,1,1,4,,,,1
C-50012,,,,11/14/2012,6,08/03/2012,,,,,,,,06/27/2014,6,1,,,,,,,05/26/2015,6,1,,88,,,11/03/2015,6,1,,88,,,10-Mar-16,6,,88,,,2016/10/20,1,1,4,,1,,
C-50013,,,,11/21/2012,5,,10/01/2013,88,88,0,04/28/2014,6,0,06/27/2014,5,1,,,,,,,,,,,,,,11/03/2015,6,1,,88,,,20-Jul-16,6,,88,,,,,,,,,,
C-50014,,,,,,08/03/2012,,,,,04/29/2014,1,0,,,,11/20/2014,5,1,0,,,05/25/2015,3,1,1,,,1,11/03/2015,3,1,1,,,,08-Mar-16,3,1,,,1,2016/10/20,1,1,4,,0,,
C-50015,10/31/2011,0,12/14/2011,11/09/2012,4,08/03/2012,08/27/2013,4,4,0,05/05/2014,4,0,06/25/2014,5,1,11/20/2014,5,1,1,,,05/25/2015,0,1,1,,,1,,,,,,,,,,,,,,2016/10/20,1,1,4,,0,,
C-50016,10/31/2011,0,12/14/2011,11/09/2012,1,08/03/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-50018,07/14/2011,0,,11/09/2012,1,08/03/2012,,,,,,,,06/27/2014,1,1,12/05/2014,1,1,0,,,05/26/2015,1,1,0,,,,11/03/2015,1,1,0,,,,08-Mar-16,1,0,,,,2016/10/20,1,1,4,,0,,
C-50019,,,,11/09/2012,3,08/03/2012,,,,,,,,06/27/2014,3,1,12/05/2014,3,1,0,,,05/26/2015,3,1,88,,,,11/03/2015,3,1,88,,,,,,,,,,2016/10/20,1,1,4,,0,,
C-50020,,,,11/09/2012,8,08/03/2012,,,,,01/15/2014,6,0,06/27/2014,8,1,12/05/2014,8,1,0,,,05/26/2015,8,1,1,,,2,11/03/2015,8,1,1,,,1,20-Jul-16,8,1,,,1,2016/10/11,1,1,4,,0,,
C-50021,,,12/13/2011,12/20/2012,4,08/08/2012,08/21/2013,7,4,0,01/15/2014,7,0,,,,,,,,,,05/26/2015,6,1,,1,88,,11/05/2015,8,1,,88,,,18-Mar-16,8,,88,,,2016/10/11,1,1,4,,,0,0
C-50022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/10/11,1,1,4,,88,,
C-50023,,,12/14/2011,11/12/2012,3,08/08/2012,08/19/2013,4,4,0,04/22/2014,4,0,06/27/2014,4,1,12/05/2014,4,1,0,,,,,,,,,,10/30/2015,4,1,1,,,,23-Feb-16,4,1,,,1,2016/10/11,1,1,4,,88,,
C-50024,,,12/14/2011,11/12/2012,4,08/08/2012,08/19/2013,4,4,0,04/22/2014,4,0,06/27/2014,4,1,12/05/2014,4,1,0,,,,,,,,,,10/30/2015,4,1,1,,,,23-Feb-16,4,88,,,,2016/10/11,1,1,4,,0,,
C-50025,,,,11/27/2012,2,08/08/2012,,,,,,,,06/27/2014,1,1,12/05/2014,1,1,0,,,,,,,,,,10/30/2015,1,1,88,,,,23-Feb-16,1,1,,,1,2016/10/11,1,1,4,,88,,
C-50026,10/31/2011,0,12/14/2011,11/27/2012,6,,08/21/2013,7,4,0,04/22/2014,7,0,06/27/2014,8,1,12/05/2014,8,1,,0,,05/28/2015,8,1,,88,,,,,,,,,,23-Mar-16,8,,88,,,2016/10/11,1,1,4,,,,1
C-50027,10/31/2011,0,,11/13/2012,2,08/10/2012,08/21/2013,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-50034,10/31/2011,0,12/14/2011,12/21/2012,13,08/10/2012,08/21/2013,15,4,0,01/20/2014,11,0,06/26/2014,13,1,,,,,,,08/25/2015,13,1,,88,,,,,,,,,,23-Mar-16,13,,88,,,2016/10/11,1,1,4,,,,1
C-50035,,,,,,08/10/2012,,,,,01/20/2014,5,0,06/26/2014,6,1,,,,,,,,,,,,,,10/30/2015,6,1,1,,,,23-Feb-16,6,1,,,1,2016/10/11,1,1,4,,0,,
C-50036,,,,12/21/2012,3,08/10/2012,,,,,01/20/2014,3,0,06/26/2014,3,1,12/05/2014,3,1,0,,,,,,,,,,10/30/2015,3,1,0,,,,23-Feb-16,3,0,,,,2016/10/11,1,1,4,,0,,
C-50037,,,,12/21/2012,2,08/10/2012,08/20/2013,7,4,0,01/20/2014,7,0,06/26/2014,7,1,,,,,,,08/25/2015,8,1,,88,,,,,,,,,,23-Mar-16,8,,88,,,2016/10/11,1,1,4,,,,88
C-50038,,,,12/21/2012,5,08/10/2012,08/20/2013,4,4,0,01/20/2014,4,0,06/26/2014,4,1,12/05/2014,4,1,0,,,,,,,,,,10/30/2015,4,1,0,,,,23-Feb-16,4,0,,,,2016/10/11,1,1,4,,88,,
C-50039,,,,12/21/2012,3,08/08/2012,09/30/2013,8,88,88,01/20/2014,7,0,06/26/2014,2,1,,,,,,,08/25/2015,2,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
C-50040,10/31/2011,0,12/15/2011,12/21/2012,5,08/08/2012,08/19/2013,1,4,0,01/20/2014,3,0,06/26/2014,1,1,12/05/2014,1,1,0,,,,,,,,,,10/30/2015,1,1,1,,,,23-Feb-16,1,1,,,1,2016/10/11,1,1,4,,0,,
C-50041,10/31/2011,0,12/15/2011,11/12/2012,1,08/08/2012,08/20/2013,2,4,0,01/20/2014,1,0,06/26/2014,2,1,12/05/2014,2,1,0,,,,,,,,,,10/30/2015,2,1,88,,,,23-Feb-16,2,88,,,,,,,,,,,
C-50042,10/31/2011,0,12/15/2011,11/12/2012,1,08/08/2012,08/20/2013,1,4,0,01/20/2014,1,0,06/26/2014,1,1,12/05/2014,1,1,0,,,,,,,,,,10/30/2015,1,1,88,,,,23-Feb-16,1,88,,,,2016/10/11,1,1,4,,0,,
