stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-40045,07/08/2011,0,11/29/2011,10/31/2012,8,06/22/2012,08/21/2013,9,4,0,01/23/2014,5,0,06/18/2014,5,1,11/03/2014,5,1,1,,,04/29/2015,5,1,1,,,1,10/08/2015,5,1,0,,,,25-Feb-16,5,0,,,,2016/09/29,1,1,4,,88,,
C-40046,07/08/2011,0,11/29/2011,10/31/2012,88,06/22/2012,08/21/2013,5,4,0,01/23/2014,5,0,,,,11/03/2014,3,1,0,,,,,,,,,,10/08/2015,5,1,1,,,1,24-Feb-16,5,88,,,,2016/09/29,1,1,4,,88,,
C-40047,07/08/2011,0,11/29/2011,10/31/2012,10,06/22/2012,08/21/2013,10,4,0,01/23/2014,5,0,06/18/2014,10,1,,,,,,,04/29/2015,10,1,1,,,2,10/08/2015,10,1,88,,,,24-Feb-16,10,88,,,,2016/09/29,1,1,4,,88,,
C-40048,07/08/2011,0,11/29/2011,,,,,,,,01/23/2014,1,0,06/18/2014,3,1,11/03/2014,3,1,,1,1,04/30/2015,3,1,,88,,,10/08/2015,5,1,88,,,,22-Jul-16,5,1,,,1,,,,,,,,
C-40049,,,11/29/2011,10/31/2012,3,06/21/2012,09/30/2013,88,88,88,04/25/2014,7,0,08/20/2014,5,1,,,,,,,,,,,,,,10/08/2015,6,1,1,,,1,24-Feb-16,6,1,,,1,2016/09/29,1,1,4,,88,,
C-40050,07/08/2011,0,11/29/2011,10/31/2012,7,06/20/2012,08/21/2013,7,4,0,01/23/2014,8,1,06/18/2014,7,1,11/03/2014,7,1,,1,1,04/30/2015,7,1,1,,,1,10/08/2015,7,1,1,,,1,07-Mar-16,7,1,,,1,2016/09/29,1,1,4,,88,,
C-40051,07/08/2011,0,,10/31/2012,1,06/20/2012,08/21/2013,1,4,0,01/23/2014,1,0,06/18/2014,1,1,11/03/2014,1,1,1,,,04/29/2015,1,1,88,,,,09/30/2015,1,1,88,,,,24-Feb-16,1,88,,,,2016/09/29,1,1,4,,88,,
C-40052,07/11/2011,0,,12/21/2012,4,,08/21/2013,4,4,0,01/23/2014,4,0,06/18/2014,4,1,11/03/2014,4,1,1,,,04/30/2015,5,1,88,,,,09/30/2015,5,1,88,,,,24-Feb-16,5,88,,,,2016/09/29,1,1,4,,88,,
C-40053,07/08/2011,0,,12/21/2012,4,,08/22/2013,4,4,0,01/23/2014,4,0,06/18/2014,4,1,11/03/2014,4,1,1,,,,,,,,,,,,,,,,,,,,,,,2016/09/29,1,1,4,,,,88
C-40054,07/08/2011,0,,12/21/2012,6,,,,,,01/23/2014,3,0,06/18/2014,6,1,11/03/2014,6,1,1,,,04/30/2015,6,1,1,,,2,,,,,,,,,,,,,,2016/09/29,1,1,4,,,,88
