"","daySeries","meanAbun","meanInf","meanVac"
"207",207,412.662,0,213.0152
"208",208,412.8318,0,212.6952
"209",209,412.999,0,212.367
"210",210,413.1998,0,212.0502
"211",211,413.3904,0,211.7346
"212",212,413.549,0,211.4128
"213",213,413.7022,0,211.0996
"214",214,413.9114,0,210.7852
"215",215,414.1166,0,210.4708
"216",216,414.3208,0,210.1632
"217",217,414.505,0,209.8528
"218",218,414.7282,0,209.5378
"219",219,414.961,0,209.2348
"220",220,415.1066,0,208.931
"221",221,415.328,0,208.6076
"222",222,415.514,0,208.2856
"223",223,415.7218,0,207.9826
"224",224,415.9006,0,207.671
"225",225,416.1234,0,207.3648
"226",226,416.3652,0,207.0636
"227",227,416.5782,0,206.7646
"228",228,416.8072,0,206.4704
"229",229,417.0382,0,206.1844
"230",230,417.2502,0,205.8902
"231",231,417.4598,0,205.5922
"232",232,417.6292,0,205.2828
"233",233,417.8274,0,204.9878
"234",234,418.0634,0,204.6888
"235",235,418.2696,0,204.3982
"236",236,418.4894,0,204.0958
"237",237,418.6996,0,203.8
"238",238,418.9252,0,203.5134
"239",239,419.1164,0,203.224
"240",240,419.2948,0,202.9338
"241",241,419.519,0,202.648
"242",242,419.7522,0,202.3546
"243",243,420.012,0,202.0706
"244",244,420.212,0,201.7892
"245",245,420.4644,0,201.5056
"246",246,420.6764,0,201.2218
"247",247,420.892,0,200.9296
"248",248,421.0804,0,200.6442
"249",249,421.2956,0,200.353
"250",250,421.5012,0,200.07
"251",251,421.7354,0,199.7922
"252",252,421.9678,0,199.4964
"253",253,422.1618,0,199.222
"254",254,422.4096,0,198.9494
"255",255,422.59,0,198.668
"256",256,422.8314,0,198.3798
"257",257,423.06,0,198.104
"258",258,423.3034,0,197.8282
"259",259,423.5678,0,197.562
"260",260,423.7936,0,197.2872
"261",261,424.0216,0,197.0338
"262",262,424.2596,0,196.766
"263",263,424.4822,0,196.499
"264",264,424.694,0,196.2248
"265",265,424.9436,0,195.9656
"266",266,425.1748,0,195.6966
"267",267,425.4336,0,195.4178
"268",268,425.693,0,195.1644
"269",269,425.9198,0,194.8952
"270",270,426.135,0,194.6222
"271",271,426.3718,0,194.3494
"272",272,426.5976,0,194.0776
"273",273,426.79,0,193.8148
"274",274,427.0188,0,193.5616
"275",275,427.254,0,193.2924
"276",276,427.4842,0,193.038
"277",277,427.7322,0,192.7798
"278",278,427.9272,0,192.504
"279",279,428.169,0,192.253
"280",280,428.4514,0,192.0084
"281",281,428.6882,0,191.7608
"282",282,428.9116,0,191.503
"283",283,429.115,0,191.2542
"284",284,429.3844,0,191.008
"285",285,429.612,0,190.745
"286",286,429.839,0,190.4856
"287",287,430.049,0,190.2284
"288",288,430.283,0,189.9842
"289",289,430.5302,0,189.7284
"290",290,430.7828,0,189.4758
"291",291,431.0448,0,189.233
"292",292,431.2626,0,188.9836
"293",293,431.5076,0,188.7456
"294",294,431.7668,0,188.4912
"295",295,431.9974,0,188.2494
"296",296,432.2218,0,188.0128
"297",297,432.4826,0,187.7776
"298",298,432.721,0,187.535
"299",299,432.9644,0,187.286
"300",300,433.1638,0,187.0472
"301",301,433.3932,0,186.8018
"302",302,433.6326,0,186.5432
"303",303,433.8894,0,186.3128
"304",304,434.1766,0,186.0774
"305",305,434.4648,0,185.8304
"306",306,434.6906,0,185.5982
"307",307,434.8984,0,185.3626
"308",308,435.1702,0,185.1304
"309",309,435.4032,0,184.8888
"310",310,435.5996,0,184.6452
"311",311,435.7872,0,184.4036
"312",312,436.03,0,184.1734
"313",313,436.2384,0,183.9346
"314",314,436.4684,0,183.6956
"315",315,436.7022,0,183.4656
"316",316,436.9666,0,183.234
"317",317,437.2172,0,182.9898
"318",318,437.4578,0,182.7576
"319",319,437.6812,0,182.5212
"320",320,437.9196,0,182.2866
"321",321,438.1488,0,182.04
"322",322,438.355,0,181.8112
"323",323,438.5728,0,181.5726
"324",324,438.8428,0,181.342
"325",325,439.0682,0,181.1106
"326",326,439.2936,0,180.8744
"327",327,439.527,0,180.6346
"328",328,439.753,0,180.4018
"329",329,439.9908,0,180.173
"330",330,440.1956,0,179.9338
"331",331,440.4414,0,179.7042
"332",332,440.649,0,179.4606
"333",333,440.8816,0,179.2166
"334",334,441.1254,0,178.9852
"335",335,441.3546,0,178.7622
"336",336,441.6228,0,178.5464
"337",337,441.8466,0,178.315
"338",338,442.1012,0,178.0858
"339",339,442.3748,0,177.8666
"340",340,442.65,0,177.6402
"341",341,442.879,0,177.4154
"342",342,443.0944,0,177.1864
"343",343,443.3156,0,176.959
"344",344,443.5394,0,176.7346
"345",345,443.755,0,176.5088
"346",346,443.9252,0,176.2786
"347",347,444.1212,0,176.0522
"348",348,444.3406,0,175.8258
"349",349,444.5648,0,175.5998
"350",350,444.7896,0,175.3736
"351",351,444.994,0,175.1434
"352",352,445.2544,0,174.9288
"353",353,445.4948,0,174.7054
"354",354,445.7116,0,174.4682
"355",355,445.9206,0,174.2412
"356",356,446.0928,0,174.025
"357",357,446.3546,0,173.8028
"358",358,446.5566,0,173.589
"359",359,446.7526,0,173.3672
"360",360,446.9626,0,173.1482
"361",361,447.1712,0,172.9358
"362",362,447.3906,0,172.7186
"363",363,447.611,0,172.5056
"364",364,447.8304,0,172.287
"365",365,448.0518,0,172.0668
"366",366,448.2888,0,171.8444
"367",367,448.5272,0,171.637
"368",368,448.784,0,171.4206
"369",369,448.9896,0,171.1854
"370",370,449.2192,0,170.9692
"371",371,449.4128,0,170.7604
"372",372,449.6816,0,170.549
"373",373,449.8812,0,170.3332
"374",374,450.0684,0,170.125
"375",375,450.2956,0,169.9008
"376",376,450.5292,0,169.6896
"377",377,450.7414,0,169.485
"378",378,450.9714,0,169.2784
"379",379,451.1736,0,169.0738
"380",380,451.3756,0,168.8514
"381",381,451.5478,0,168.65
"382",382,451.762,0,168.4424
"383",383,451.9998,0,168.2304
"384",384,452.186,0,168.022
"385",385,452.4226,0,167.8134
"386",386,452.6358,0,167.6012
"387",387,452.8272,0,167.39
"388",388,453.0028,0,167.176
"389",389,453.2182,0,166.9682
"390",390,453.4096,0,166.763
"391",391,453.622,0,166.5406
"392",392,453.7698,0,166.3192
"393",393,453.9678,0,166.1078
